Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score
Wii Sports,Wii,2006,Sports,Nintendo,82.53,76.0,8.0
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.52,82.0,8.3
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.77,80.0,8.0
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.8,89.0,8.5
Wii Play,Wii,2006,Misc,Nintendo,28.92,58.0,6.6
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.32,87.0,8.4
Mario Kart DS,DS,2005,Racing,Nintendo,23.21,91.0,8.6
Wii Fit,Wii,2007,Sports,Nintendo,22.7,80.0,7.7
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,61.0,6.3
Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79,80.0,7.4
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,97.0,8.2
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,95.0,9.0
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15,77.0,7.9
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,97.0,8.1
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,95.0,8.7
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29,77.0,7.1
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,95.0,8.4
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,88.0,3.4
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.61,87.0,6.3
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79,83.0,5.3
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,83.0,4.8
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.47,94.0,6.3
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32,88.0,3.2
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1,97.0,8.5
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.84,93.0,8.9
Mario Kart 7,3DS,2011,Racing,Nintendo,12.66,85.0,8.2
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.63,88.0,6.4
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,97.0,8.3
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13,86.0,8.7
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12,94.0,7.8
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,89.0,8.5
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.35,97.0,8.9
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01,98.0,7.9
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95,96.0,8.7
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,90.0,8.4
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84.0,7.5
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.6,94.0,6.3
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.5,98.0,7.5
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,73.0,2.6
Just Dance 3,Wii,2011,Misc,Ubisoft,10.12,74.0,7.8
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9.9,78.0,7.2
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.86,91.0,7.9
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9.72,92.0,9.2
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.71,87.0,7.0
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,9.49,93.0,9.0
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74.0,7.3
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9.36,71.0,2.6
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9.31,94.0,8.4
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.16,88.0,8.7
Mario Party DS,DS,2007,Misc,Nintendo,8.91,72.0,7.8
